אָב|av
לְהַצְנִיחַ|lehatzniach
צַנְחָן|tzanchan
מִצְנָח|mitznach
מַצְנֵחַ|matzneach
מְצוּנָּן|metzunan
לְצַנֵּן|letzanen
לְהִצְטַנֵּן|lehitztanen
לְהָצֵן|lehatzen
הִצְטַנְּנוּת|hitztanenut
לְהִצְטַנֵּעַ|lehitztanea
לְהַצְנִיעַ|lehatznia
צָנוּעַ|tzanua
צֶנַע|tzena
מוּצְנָע|mutzna
לְהַצְנִיף|lehatznif
מִצְנֶפֶת|mitznefet
צָנִיף|tzanif
לְהִצְטַנֵּף|lehitztanef
לִצְנוֹף|litznof
לְצַנְרֵר|letzanrer
צִינְרוּר|tzinrur
צַנְתָּר|tzantar
לְצַנְתֵּר|letzanter
צִינְתּוּר|tzintur
לִצְעוֹד|litz'od
לְהַצְעִיד|lehatz'id
מִצְעָד|mitz'ad
צַעַד|tza'ad
צְעִידָה|tze'ida
צַעֲדָה|tza'ada
לִצְעוֹת|litz'ot
צָעִיף|tza'if
צַעֲצוּעַ|tza'atzua
לִצְעוֹק|litz'ok
צְעָקָה|tze'aka
לְהִצְטַעֵק|lehitzta'ek
לְצַעֵר|letza'er
לְהִצְטַעֵר|lehitzta'er
צָעִיר|tza'ir
צַעַר|tza'ar
מִצְפֶּה|mitzpe
צָפוּי|tzafuy
צֶפִי|tzefi
לְהִיצָּפוֹת|lehitzafot
לְצַפּוֹת|letzapot
לִצְפּוֹת|litzpot
צִיפִּיָּה|tzipiya
מַצְפֵּן|matzpen
לִצְפּוֹן|litzpon
לְהִיצָּפֵן|lehitzafen
צָפוֹן|tzafon
צוֹפֶן|tzofen
צָפוֹנָה|tzafona
צְפוֹנִי|tzfoni
מַצְפּוּן|matzpun
לְהַצְפִּין|lehatzpin
צָפוּף|tzafuf
לְצוֹפֵף|letzofef
לְהִצְטוֹפֵף|lehitztofef
צְפִיפוּת|tzfifut
לְצַפְצֵף|letzaftzef
לִצְפּוֹר|litzpor
צַפָּר|tzapar
צִיפּוֹר|tzipor
צְפַרְדֵּעַ|tzfardea
לִצְרוֹב|litzrov
צָרוּב|tzaruv
צָרֶבֶת|tzarevet
לְהִצְטָרֵד|lehitztared
לִצְרוֹחַ|litzroach
צַרְחָן|tzarchan
צְרִיחַ|tzriach
לְהִצְטָרֵךְ|lehitztarech
לִצְרוֹךְ|litzroch
לְהַצְרִיךְ|lehatzrich
צָרִיךְ|tzarich
צוֹרֶךְ|tzorech
צַרְכָן|tzarchan
מִצְרָךְ|mitzrach
לְהִיצָּרֵךְ|lehitzarech
צַרְכָנוּת|tzarchanut
לִצְרוֹם|litzrom
לְהִצְטָרֵף|lehitztaref
לְצָרֵף|letzaref
צְרִיף|tzrif
לִצְרוֹף|litzrof
לְצַרְצֵר|letzartzer
צִירְצוּר|tzirtzur
לִצְרוֹר|litzror
צַר|tzar
לְהָצֵר|lehatzer
צָרָה|tzara
לְצוֹתֵת|letzotet
לִקְבּוֹל|likbol
לְקַבֵּל|lekabel
לְהִתְקַבֵּל|lehitkabel
לְהַקְבִּיל|lehakbil
קַבָּלָה|kabala
קִיבּוֹלֶת|kibolet
קַבָּל|kabal
קִיבּוּל|kibul
לְהִיקָּבֵעַ|lehikavea
קָבוּעַ|kavua
לְהִתְקַבֵּעַ|lehitkabea
לִקְבּוֹעַ|likboa
קְבִיעוּת|kvi'ut
קְבוּצָה|kvutza
לְהִיקָּבֵץ|lehikavetz
לְקַבֵּץ|lekabetz
קוֹבֶץ|kovetz
קַבְּצָן|kabtzan
לְהִתְקַבֵּץ|lehitkabetz
קִיבּוּץ|kibutz
לִקְבּוֹר|likbor
לְהִיקָּבֵר|lehikaver
קָבוּר|kavur
קְבוּרָה|kvura
קֵבֶר|kever
קַבַּרְנִיט|kabarnit
לָקוֹד|lakod
לְקַדֵּד|lekaded
קַדַּחַת|kadachat
לְהַקְדִּיחַ|lehakdiach
לִקְדּוֹחַ|likdoach
לְהִיקָּדֵחַ|lehikadeach
מַקְדֵּחָה|makdecha
אֶקְדָּח|ekdach
מוּקְדָּם|mukdam
לְקַדֵּם|lekadem
לְהַקְדִּים|lehakdim
לְהִתְקַדֵּם|lehitkadem
הִתְקַדְּמוּת|hitkadmut
קִדְמָה|kidma
קִידּוֹמֶת|kidomet
קָדִימָה|kadima
הַקְדָּמָה|hakdama
תַּקְדִּים|takdim
לִקְדּוֹם|likdom
לְהִתְקַדֵּר|lehitkader
לִקְדּוֹר|likdor
קַדָּר|kadar
קַדָּרוּת|kadarut
קָדוֹשׁ|kadosh
לְקַדֵּשׁ|lekadesh
לְהִתְקַדֵּשׁ|lehitkadesh
לְהַקְדִּישׁ|lehakdish
מִקְדָּשׁ|mikdash
קוֹדֶשׁ|kodesh
לְהִתְקַהוֹת|lehitkahot
לְהַקְהוֹת|lehakhot
קְהִילָּה|kehila
לְהִתְקַהֵל|lehitkahel
מַקְהֵלָה|makhela
לְהִיקָּהֵל|lehikahel
קָהָל|kahal
קְהִלָּתִי|kehilati
קַו|kav
לְקַוּוֹת|lekavot
לְהִיקָּווֹת|lehikavot
תִּקְווָה|tikva
קוֹל|kol
קוֹלְנוֹעַ|kolnoa
לָקוּם|lakum
לְהָקִים|lehakim
לְקוֹמֵם|lekomem
לְהִתְקוֹמֵם|lehitkomem
מָקוֹם|makom
תְּקוּמָה|tkuma
יְקוּם|yekum
מְקוֹמִי|mekomi
הֲקָמָה|hakama
מֵקִים|mekim
קוֹמָה|koma
קוֹמוּנִיסְט|komunist
קוּמְקוּם|kumkum
קִינָה|kina
מְקוּוָּן|mekuvan
לְקוֹנֵן|lekonen
תְּקוּפָה|tkufa
קוֹף|kof
קוּפַּאי|kupay
קוּפָּה|kupa
קוּפְסָה|kufsa
לָקוּץ|lakutz
מָקוֹר|makor
לְקַזֵּז|lekazez
לְהִתְקַזֵּז|lehitkazez
לְקַטֵּב|lekatev
לְהִתְקוֹטֵט|lehitkotet
לִקְטוֹל|liktol
לְהִיקָּטֵל|lehikatel
לְקַטֵּל|lekatel
לְהִתְקַטֵּל|lehitkatel
לִקְטוֹן|likton
לְהַקְטִין|lehaktin
קָטָן|katan
לִקְטוֹעַ|liktoa
לְהִיקָּטֵעַ|lehikatea
קֶטַע|keta
לִקְטוֹף|liktof
לְהִיקָּטֵף|lehikatef
קְטִיפָה|ktifa
לְקַטֵּר|lekater
קַטָּר|katar
קִיטוֹר|kitor
לְהַקְטִיר|lehaktir
קוֹטֶר|koter
לְהָקִיא|lehaki
קֵיבָה|keiva
לְקַייֵּם|lekayem
לְהִתְקַייֵּם|lehitkayem
קִיּוּם|kiyum
קַייָּם|kayam
קִינָמוֹן|kinamon
לְהָקִיץ|lehakitz
קַיִץ|kayitz
קִיר|kir
לְהַקְלִיד|lehaklid
הַקְלָדָה|haklada
מִקְלֶדֶת|mikledet
לְהִתְקַלֵּחַ|lehitkaleach
לִקְלוֹחַ|likloach
מִקְלַחַת|miklachat
לְקַלֵּחַ|lekaleach
לְהַקְלִיט|lehaklit
לְהִיקָּלֵט|lehikalet
מִקְלָט|miklat
הַקְלָטָה|haklata
הִיקָּלְטוּת|hikaltut
קַלֶּטֶת|kaletet
מַקְלֵט|maklet
תַּקְלִיט|taklit
לִקְלוֹט|liklot
קְלִיטָה|klita
קֶלֶט|kelet
לִקְלוֹת|liklot
לְהִיקָּלוֹת|lehikalot
קָלוֹן|kalon
קַלּוּת|kalut
לְקַלֵּל|lekalel
לְהָקֵל|lehakel
קְלָלָה|klala
קַל|kal
לְהִיקָּלֵעַ|lehikalea
קֶלַע|kela
קָלָע|kala
מַקְלֵעַ|maklea
קָלִיעַ|kalia
לִקְלוֹעַ|likloa
לְקַלֵּף|lekalef
לִקְלוֹף|liklof
לְהִתְקַלֵּף|lehitkalef
קְלָף|klaf
קְלִפָּה|klipa
לְהַקְלִיק|lehaklik
לְקַלְקֵל|lekalkel
לְהִתְקַלְקֵל|lehitkalkel
קִלְשׁוֹן|kilshon
קֶמַח|kemach
לְקַמֵּט|lekamet
לְהִתְקַמֵּט|lehitkamet
לְהִיקָּמֵל|lehikamel
לְקַמֵּץ|lekametz
קַמְצָן|kamtzan
קוֹמֶץ|kometz
לִקְמוֹץ|likmotz
לְהִתְקַמֵּץ|lehitkametz
לְהִתְקַמְצֵן|lehitkamtzen
קְמִירָה|kmira
קָמוּר|kamur
לְקַמֵּר|lekamer
קֶמֶר|kemer
קִמְרוֹן|kimron
קִנְאָה|kin'a
קַנָּא|kana
קַנַּאי|kanay
קַנָּאוּת|kana'ut
לְקַנֵּא|lekane
לְהִתְקַנֵּא|lehitkane
לְקַנֵּחַ|lekaneach
לְהַקְנִיט|lehaknit
הַקְנָטָה|haknata
לְקַנְטֵר|lekanter
לִקְנוֹת|liknot
לְהִיקָּנוֹת|lehikanot
לְהַקְנוֹת|lehaknot
קְנִיָּה|kniya
קָנוּי|kanuy
קַנְיוֹן|kanyon
קַנְיוֹן|kanyon
קְנִייָּה|kniya
לְקַנֵּן|lekanen
קְנָס|knas
לִקְנוֹס|liknos
לְהִיקָּנֵס|lehikanes
קַסְדָּה|kasda
לִקְסוֹם|liksom
לְהַקְסִים|lehaksim
קֶסֶם|kesem
לְקַעְקֵעַ|leka'akea
קָעוּר|ka'ur
קְעִירָה|ke'ira
קְעָרָה|ke'ara
לְהִיקָּפֵא|lehikafe
לְהַקְפִּיא|lehakpi
הַקְפָּאָה|hakpa'a
קִיפָּאוֹן|kipa'on
לִקְפּוֹא|likpo
לְקַפֵּד|lekaped
לְהַקְפִּיד|lehakpid
קָפֶה|kafe
מְקוּפָּח|mekupach
לְקַפֵּחַ|lekapeach
לִקְפּוֹחַ|likpoach
לְקַפּוֹת|lekapot
לְקַפֵּל|lekapel
לְהִתְקַפֵּל|lehitkapel
קִיפּוּל|kipul
לְהַקְפִּיץ|lehakpitz
קְפִיץ|kfitz
לִקְפּוֹץ|likpotz
לְקַפֵּץ|lekapetz
מוּקְפָּץ|mukpatz
לְהַקְצִיב|lehaktziv
קֶצֶב|ketzev
קַצָּב|katzav
קִצְבָּה|kitzba
תַּקְצִיב|taktziv
קָצוּב|katzuv
קְצוּבָּה|ktzuba
לִקְצוֹב|liktzov
קִצְבָּה|kitzba
לְהַקְצוֹת|lehaktzot
לְהַקְצִין|lehaktzin
קָצִין|katzin
מִקְצוֹעִי|miktzo'i
לְהַקְצִיעַ|lehaktzia
מִקְצוֹעַ|miktzoa
קַצֶּפֶת|katzefet
קֶצֶף|ketzef
לִקְצוֹף|liktzof
קֶצֶף|ketzef
לְהַקְצִיף|lehaktzif
לְקַצֵּץ|lekatzetz
לִקְצוֹץ|liktzotz
קָצִיר|katzir
לִקְצוֹר|liktzor
לְהִיקָּצֵר|lehikatzer
לְקַצֵּר|lekatzer
לְהִתְקַצֵּר|lehitkatzer
קָצָר|katzar
קֶצֶר|ketzer
קַצֶּרֶת|katzeret
קִיצּוּר|kitzur
תַּקְצִיר|taktzir
קְצָת|ktzat
לִקְרוֹא|likro
לְהִיקָּרֵא|lehikare
לְהַקְרִיא|lehakri
קְרִיאָה|kri'a
לִקְרוֹב|likrov
לְקָרֵב|lekarev
לְהִתְקָרֵב|lehitkarev
לְהַקְרִיב|lehakriv
הַקְרָבָה|hakrava
קִרְבָה|kirva
קָרוֹב|karov
תַּקְרִיב|takriv
קוֹרְבָּן|korban
קֶרֶב|kerev
קָרוֹן|karon
קֵרוּר|kerur
לְהַקְרִיחַ|lehakriach
קֶרַח|kerach
קֵירֵחַ|kereach
קָרַחַת|karachat
לְהִיקָּרוֹת|lehikarot
לִקְרוֹת|likrot
לְקָרוֹת|lekarot
מִקְרֶה|mikre
קִרְיָה|kirya
תַּקְרִית|takrit
תִּקְרָה|tikra
קַרְייָן|karyan
קָרוּי|karuy
לְהַקְרִים|lehakrim
לְהִיקָּרֵם|lehikarem
לִקְרוֹם|likrom
לִקְרוֹן|likron
לְהַקְרִין|lehakrin
הַקְרָנָה|hakrana
קֶרֶן|keren
קֶרֶן|keren
קְרִינָה|krina
לִקְרוֹס|likros
קַרְסוֹל|karsol
לִקְרוֹעַ|likroa
לְהִיקָּרֵעַ|lehikarea
קָרוּעַ|karua
לִקְרוֹץ|likrotz
לְקַרְצֵף|lekartzef
לְקַרְקֵעַ|lekarkea
קַרְקַע|karka
קַרְקָעִית|karka'it
קַרְקֶפֶת|karkefet
קִירְקוּף|kirkuf
לְקַרְקֵף|lekarkef
לְקַרְקֵר|lekarker
קָרִיר|karir
לְקָרֵר|lekarer
קַר|kar
לְהִתְקָרֵר|lehitkarer
קוֹר|kor
מְקָרֵר|mekarer
לְהִתְקָרֵשׁ|lehitkaresh
לְהַקְרִישׁ|lehakrish
קֶרֶשׁ|keresh
הַקְשָׁבָה|hakshava
לְהַקְשִׁיב|lehakshiv
קַשּׁוּב|kashuv
לְהַקְשִׁיחַ|lehakshiach
קָשׁוּחַ|kashuach
לְקַשֵּׁט|lekashet
לְהִתְקַשֵּׁט|lehitkashet
לִקְשׁוֹט|likshot
קִישּׁוּט|kishut
לְהִתְקַשּׁוֹת|lehitkashot
לְהַקְשׁוֹת|lehakshot
קָשֶׁה|kashe
קוֹשִׁי|koshi
לִקְשׁוֹת|likshot
לְקַשְׁקֵשׁ|lekashkesh
לְהִיקָּשֵׁר|lehikasher
לְקַשֵּׁר|lekasher
קֶשֶׁר|kesher
הֶקְשֵׁר|heksher
תִּקְשׁוֹרֶת|tikshoret
קָשׁוּר|kashur
לְהִתְקַשֵּׁר|lehitkasher
לִקְשׁוֹר|likshor
קִישּׁוּר|kishur
קִישּׁוּר|kishur
לְקוֹשֵׁשׁ|lekoshesh
לְקַשֵּׁת|lekashet
רֵיאָיוֹן|re'ayon
לִרְאוֹת|lir'ot
לְהֵירָאוֹת|lehera'ot
לְהַרְאוֹת|lehar'ot
רָאוּי|ra'uy
נִרְאֶה|nir'e
מַרְאָה|mar'a
לְהִתְרָאוֹת|lehitra'ot
לְרַאְייֵן|lerayen
לְהִתְרַאְייֵן|lehitrayen
בְּרֵאשִׁית|bereshit
רֵאשִׁית|reshit
רֵאשִׁית|reshit
רֹאשׁ|rosh
רִאשׁוֹן|rishon
בְּרֵאשִׁית|bereshit
רוֹב|rov
רִיבִּית|ribit
רַב|rav
רְבָבָה|revava
רִיבָּה|riba
מֵירַב|merav
מֵירַבִּי|merabi
רִיבּוּד|ribud
לְרַבֵּד|lerabed
תַּרְבּוּת|tarbut
לְהַרְבּוֹת|leharbot
לְהִתְרַבּוֹת|lehitrabot
לִרְבּוֹת|lirbot
הַרְבֵּה|harbe
רִיבּוּי|ribuy
רֶבַע|reva
רָבוּעַ|ravua
רְבִיעִי|revi'i
לְרַבֵּעַ|lerabea
רִיבּוּעַ|ribua
רוֹבַע|rova
לְהַרְבִּיעַ|leharbia
לִרְבּוֹץ|lirbotz
לְהַרְבִּיץ|leharbitz
לְהִתְרַבְרֵב|lehitravrev
רֶגֶב|regev
לִרְגּוֹז|lirgoz
לְהַרְגִּיז|lehargiz
לְהֵירָגֵז|leheragez
לְהִתְרַגֵּז|lehitragez
לְרַגֵּל|leragel
לְהַרְגִּיל|lehargil
רִיגּוּל|rigul
הֶרְגֵּל|hergel
רָגִיל|ragil
רֶגֶל|regel
תַּרְגִּיל|targil
לְהִתְרַגֵּל|lehitragel
לִרְגּוֹם|lirgom
מַרְגֵּמָה|margema
לִרְגּוֹן|lirgon
לְהַרְגִּיעַ|lehargia
לְהֵירָגֵעַ|leheragea
הַרְגָּעָה|harga'a
רָגוּעַ|ragua
רֶגַע|rega
רוֹגֵעַ|rogea
רוֹגַע|roga
לְהֵירָגֵשׁ|leheragesh
לְהַרְגִּישׁ|lehargish
לְרַגֵּשׁ|leragesh
לְהִתְרַגֵּשׁ|lehitragesh
הַרְגָּשָׁה|hargasha
הִתְרַגְּשׁוּת|hitragshut
רֶגֶשׁ|regesh
מַרְגָּשׁ|margash
רָגִישׁ|ragish
לִרְגּוֹשׁ|lirgosh
לְרַדֵּד|leraded
רָדוּד|radud
רָדוּד|radud
לִרְדּוֹת|lirdot
הֵירָדְמוּת|heradmut
לְהֵירָדֵם|leheradem
לְהַרְדִּים|lehardim
תַּרְדֵּמָה|tardema
לִרְדּוֹף|lirdof
לְהֵירָדֵף|leheradef
לְהַרְהִיב|leharhiv
לְרַהֵט|lerahet
רַהַט|rahat
רָהִיט|rahit
לִרְהוֹט|lirhot
רִיהוּט|rihut
מְרוּוָּח|meruvach
לִרְווֹחַ|lirvoach
לְרַווֵּחַ|leraveach
לְהַרְווִיחַ|leharviach
מִרְווָח|mirvach
רוּחַ|ruach
לְהִתְרַווֵּחַ|lehitraveach
לִרְווֹת|lirvot
לְהַרְווֹת|leharvot
לְהָרִים|leharim
רָמָה|rama
לְהִתְרוֹמֵם|lehitromem
לְרוֹמֵם|leromem
תְּרוּמָה|truma
מָרוֹם|marom
לְהָרִיעַ|leharia
לָרוּץ|larutz
לְהִתְרוֹצֵץ|lehitrotzetz
רִיצָה|ritza
מְרִיצָה|meritza
רָץ|ratz
לְהָרִיץ|leharitz
רַווָּק|ravak
רָז|raz
לִרְזוֹת|lirzot
לְהַרְזוֹת|leharzot
הַרְזָיָה|harzaya
רָזֶה|raze
לִרְחוֹב|lirchov
לְהַרְחִיב|leharchiv
לְהִתְרַחֵב|lehitrachev
רְחָבָה|rechava
הַרְחָבָה|harchava
רָחָב|rachav
רוֹחַב|rochav
רְחוֹב|rechov
לְרַחֵם|lerachem
לְהִתְרַחֵם|lehitrachem
רַחֲמִים|rachamim
לְרַחֵף|lerachef
לִרְחוֹץ|lirchotz
לְהֵירָחֵץ|leherachetz
רְחִיצָה|rechitza
תַּרְחִיץ|tarchitz
לְהִתְרַחֵץ|lehitrachetz
רָחוּץ|rachutz
לְהַרְחִיק|leharchik
הַרְחָקָה|harchaka
רָחוֹק|rachok
מֶרְחָק|merchak
לְהִתְרַחֵק|lehitrachek
מְרוּחָק|meruchak
לְרַחְרֵחַ|lerachreach
לִרְחוֹשׁ|lirchosh
לְהִתְרַחֵשׁ|lehitrachesh
לְהֵירָטֵב|leheratev
לְהַרְטִיב|lehartiv
לְהִתְרַטֵּב|lehitratev
רָטוֹב|ratov
רְטִיבוּת|retivut
לְהַרְטִיט|lehartit
לִרְטוֹט|lirtot
לְרַטֵּט|leratet
לִרְטוֹן|lirton
לְרַטֵּשׁ|leratesh
לָרִיב|lariv
מְרִיבָה|meriva
לְהָרִיחַ|lehariach
רֵיחַ|reach
רִימּוֹן|rimon
רִיס|ris
רֵיק|rek
לְהָרִיק|leharik
רִיק|rik
לְרוֹקֵן|leroken
לְהִתְרוֹקֵן|lehitroken
לָרִיר|larir
לְרַייֵּר|lerayer
רִיר|rir
לְרוֹשֵׁשׁ|leroshesh
לְהִתְרוֹשֵׁשׁ|lehitroshesh
לְהִתְרַכֵּב|lehitrakev
תִּרְכּוֹבֶת|tirkovet
לִרְכּוֹב|lirkov
הִתְרַכְּבוּת|hitrakvut
הֶרְכֵּב|herkev
הַרְכָּבָה|harkava
מוּרְכָּב|murkav
מְרוּכָּב|merukav
רֶכֶב|rechev
רַכֶּבֶת|rakevet
רְכִיב|rechiv
מֶרְכָּבָה|merkava
לְהַרְכִּיב|leharkiv
לְרַכֵּז|lerakez
לְהִתְרַכֵּז|lehitrakez
תַּרְכִּיז|tarkiz
מֶרְכָּז|merkaz
רַכָּז|rakaz
רִיכּוּז|rikuz
לְרַכֵּךְ|lerakech
לְהִתְרַכֵּךְ|lehitrakech
רִיכּוּךְ|rikuch
רַךְ|rach
לְרַכֵל|lerachel
לִרְכּוֹל|lirkol
לִרְכּוֹן|lirkon
לְהַרְכִּין|leharkin
לִרְכּוֹס|lirkos
לִרְכּוֹשׁ|lirkosh
לְהֵירָכֵשׁ|leherachesh
רְכִישָׁה|rechisha
רֶכֶשׁ|rechesh
רֶלֶווַנְטִי|relevanti
לְרַמֵּז|leramez
לִרְמוֹז|lirmoz
לְהֵירָמֵז|leheramez
רֶמֶז|remez
רַמְזוֹר|ramzor
רוֹמַח|romach
לְרַמּוֹת|leramot
לִרְמוֹת|lirmot
מִרְמָה|mirma
רַמַּאי|ramay
תַּרְמִיל|tarmil
לִרְמוֹס|lirmos
לְהֵירָמֵס|leherames
לִרְמוֹשׂ|lirmos
רֶמֶשׂ|remes
רְנָנָה|renana
רִינָּה|rina
לְהִתְרוֹנֵן|lehitronen
לְרַנֵּן|leranen
לְרַסֵּן|lerasen
לְרַסֵּס|lerases
רִיסּוּס|risus
לְרַסֵּק|lerasek
לְהִתְרַסֵּק|lehitrasek
הִתְרַסְּקוּת|hitraskut
רֶסֶק|resek
רֵעַ|rea
לִרְעוֹב|lir'ov
לְהַרְעִיב|lehar'iv
רָעָב|ra'av
רָעֵב|ra'ev
רְעַבְתָּן|re'avtan
לִרְעוֹד|lir'od
לְהַרְעִיד|lehar'id
רַעַד|ra'ad
לְהֵירָעֵד|lehera'ed
לִרְעוֹת|lir'ot
רַעֲיוֹן|ra'ayon
מִרְעֶה|mir'e
לְהַרְעִיל|lehar'il
הַרְעָלָה|har'ala
רַעַל|ra'al
רָעִיל|ra'il
תַּרְעֵלָה|tar'ela
לִרְעוֹם|lir'om
לְהַרְעִים|lehar'im
רַעַם|ra'am
לְהִתְרַעֵם|lehitra'em
לְרַעְנֵן|lera'anen
לְהִתְרַעְנֵן|lehitra'anen
רִיעְנוּן|ri'anun
רַעֲנָן|ra'anan
לְהָרֵעַ|leharea
לְהִתְרוֹעֵעַ|lehitro'ea
רַע|ra
לְהַרְעִיף|lehar'if
רַעַף|ra'af
לִרְעוֹץ|lir'otz
לְהֵירָעֵץ|lehera'etz
לִרְעוֹשׁ|lir'osh
לְהֵירָעֵשׁ|lehera'esh
לְהַרְעִישׁ|lehar'ish
רַעַשׁ|ra'ash
רוֹפֵא|rofe
לִרְפּוֹא|lirpo
לְהֵירָפֵא|leherafe
לְהִתְרַפֵּא|lehitrape
מִרְפָּאָה|mirpa'a
רְפוּאָה|refu'a
תְּרוּפָה|trufa
לְרַפֵּא|lerape
לְרַפֵּד|leraped
רִיפּוּד|ripud
לְהִתְרַפֵּט|lehitrapet
לְרַפֵּט|lerapet
לִרְפּוֹת|lirpot
לְרַפּוֹת|lerapot
לְהַרְפּוֹת|leharpot
רִפְיוֹן|rifyon
לְהִתְרַפֵּס|lehitrapes
מִרְפֶּסֶת|mirpeset
לְהִתְרוֹפֵף|lehitrofef
רַף|raf
מַרְפֵּק|marpek
לְהִתְרַפֵּק|lehitrapek
לְרַפְרֵף|lerafref
רִיפְרוּף|rifruf
רֶפֶשׁ|refesh
הַרְצָאָה|hartza'a
לְרַצֵּד|leratzed
רֶצַח|retzach
לִרְצוֹחַ|lirtzoach
לְהֵירָצֵחַ|leheratzeach
לִרְצוֹת|lirtzot
לְהִתְרַצּוֹת|lehitratzot
לְהַרְצוֹת|lehartzot
לְרַצּוֹת|leratzot
רָצוֹן|ratzon
רָצוּי|ratzuy
רְצִינִי|retzini
רְצִינִי|retzini
מַרְצֵעַ|martzea
לְרַצֵּף|leratzef
רִיצּוּף|ritzuf
רִצְפָּה|ritzpa
רָצִיף|ratzif
רָצִיף|ratzif
לְרוֹצֵץ|lerotzetz
רַק|rak
לִרְקוֹב|lirkov
לְהֵירָקֵב|leherakev
רָקָב|rakav
רִיקָּבוֹן|rikavon
רָקוּב|rakuv
לְהַרְקִיב|leharkiv
לִרְקוֹד|lirkod
לְרַקֵּד|leraked
רִיקּוּד|rikud
רַקְדָן|rakdan
רָקִיד|rakid
לְהַרְקִיד|leharkid
לִרְקוֹחַ|lirkoach
רוֹקֵחַ|rokeach
רוֹקְחוּת|rokchut
מִרְקַחַת|mirkachat
לְהִתְרַקֵּם|lehitrakem
לְהֵירָקֵם|leherakem
רִקְמָה|rikma
לִרְקוֹם|lirkom
לְהַרְקִיעַ|leharkia
רָקִיעַ|rakia
מִרְקָע|mirka
לְרַקֵּעַ|lerakea
רָקוּעַ|rakua
לִרְקוֹעַ|lirkoa
רַקָּה|raka
רַשַּׁאי|rashay
לְהַרְשׁוֹת|leharshot
רָשׁוּת|rashut
רְשׁוּת|reshut
רִישָּׁיוֹן|rishayon
לְהִתְרַשֵּׁל|lehitrashel
לְהֵירָשֵׁם|leherashem
לְהִתְרַשֵּׁם|lehitrashem
לְהַרְשִׁים|leharshim
הִתְרַשְּׁמוּת|hitrashmut
רִשְׁמִי|rishmi
הַרְשָׁמָה|harshama
תַּרְשִׁים|tarshim
רוֹשֶׁם|roshem
רְשִׁימָה|reshima
לִרְשׁוֹם|lirshom
רָשׁוּם|rashum
רִישּׁוּם|rishum
לְהַרְשִׁיעַ|leharshia
רָשָׁע|rasha
רֶשַׁע|resha
רִשְׁעָה|rish'a
הַרְשָׁעָה|harsha'a
מְרוּשָּׁע|merusha
רֶשֶׁף|reshef
לִרְשׁוֹף|lirshof
לְרַשְׁרֵשׁ|lerashresh
לְרוֹשֵׁשׁ|leroshesh
לְרוֹשֵׁשׁ|leroshesh
רֶשֶׁת|reshet
לִרְתּוֹחַ|lirtoach
לְהַרְתִּיחַ|lehartiach
לְהִתְרַתֵּחַ|lehitrateach
לְרַתּוֹת|leratot
לְרַתֵּךְ|leratech
רִיתּוּךְ|rituch
לִרְתּוֹם|lirtom
לְהֵירָתֵם|leheratem
לְהֵירָתֵעַ|leheratea
לְהַרְתִּיעַ|lehartia
מַרְתֵּף|martef
לְרַתֵּק|leratek
מְרַתֵּק|meratek
שֶׁ|she
לִשְׁאוֹב|lish'ov
לְהִישָּׁאֵב|lehisha'ev
מַשְׁאָב|mash'av
לִשְׁאוֹג|lish'og
לְהִשְׁתָּאוֹת|lehishta'ot
לִשְׁאוֹל|lish'ol
לְהַשְׁאִיל|lehash'il
לְהִישָּׁאֵל|lehisha'el
שְׁאֵלָה|she'ela
הַשְׁאָלָה|hash'ala
מִשְׁאָל|mish'al
שְׁאִילָה|she'ila
שָׁאוּל|sha'ul
מִשְׁאָלָה|mish'ala
לִשְׁאוֹף|lish'of
לְהִישָּׁאֵף|lehisha'ef
שְׁאִיפָה|she'ifa
לְהִישָּׁאֵר|lehisha'er
לְהַשְׁאִיר|lehash'ir
שְׁאָר|she'ar
שְׂאוֹר|se'or
שְׁאֵרִית|she'erit
שְׁבָב|shvav
שֶׁבַח|shevach
לְהַשְׁבִּיחַ|lehashbiach
לְשַׁבֵּחַ|leshabeach
לְהִשְׁתַּבֵּחַ|lehishtabeach
לְשַׁבֵּט|leshabet
לְהִישָּׁבוֹת|lehishavot
לִשְׁבּוֹת|lishbot
שִׁיבּוֹלֶת|shibolet
שְׁבִיל|shvil
שְׂבִיעָה|svi'a
לִשְׂבּוֹעַ|lisboa
לְהִישָּׁבֵעַ|lehishavea
לְהַשְׁבִּיעַ|lehashbia
שְׁבִיעִי|shvi'i
שְׁבוּעָה|shvu'a
שָׁבוּעַ|shavua
לְהַשְׂבִּיעַ|lehasbia
שָׂבֵעַ|savea
לְהִשְׁתַּבֵּץ|lehishtabetz
מִשְׁבֶּצֶת|mishbetzet
לְשַׁבֵּץ|leshabetz
לִשְׁבּוֹק|lishbok
לְשַׁבֵּר|leshaber
לִשְׁבּוֹר|lishbor
לְהִישָּׁבֵר|lehishaver
מִשְׁבָּר|mishbar
מַשְׁבֵּר|mashber
שֶׁבֶר|shever
שָׁבִיר|shavir
שָׁבוּר|shavur
לְהַשְׁבִּיר|lehashbir
לְהִשְׁתַּבֵּשׁ|lehishtabesh
לְשַׁבֵּשׁ|leshabesh
לְהַשְׁבִּית|lehashbit
שְׁבִיתָה|shvita
שַׁבָּת|shabat
לִשְׁבּוֹת|lishbot
שְׁגִיאָה|shgi'a
נִשְׂגָּב|nisgav
לִשְׁגּוֹג|lishgog
